start_time_user,date_user,deviceid,starttime_auto,starttime_calculated,date_time,country,local_currency,currency_label,RegionID,VaccID,priority_backup,HouseholdID,FarmerLocation,farmer_location,farmer_location_new,FarmerCat1,Categorisation,HerdSizeCat,herd_size_cat,herd_size_cat_new,ItmStartYear,itm_start_year,ItmStartYearNew,ItmLastYearNumber,itm_last_year_number,ItmLastYearNumberNew,HerdMobileYN,herd_mobile,HerdMobileYnNew,CroppingYN,cropping_yn,cropping_yn_new,NoteUpdateBackInfo,agreement,participation,respondentsex,respondent_is_head,household_position,household_type,work_away,age_malehead,age_femalehead,education_level,children_under_4,children_4to10,males11to24,females11to24,males25to50,females25to50,malesover50,femalesover50,generated_note_name_101,land_tenure,landowned_crop,landowned_grass_enclosed,landowned_grass_open,unitland_owned,land_ownership,areaunits_other_own,landrentin,unitland_rentin,landrentout,unitland_rentout,areaunits_other_rent,landcultivated,unitland,areaunits_other,Farm_labour,land_slope,homegarden,pasture_grazing,pastureland_controldry,pastureland_controlown_when,pastureland_commonland_when,pastureland_awayland_when,generated_note_name_138,livestock_owners,livestock,livestock_count,livestock_other1,livestock_other2,livestock_other3,livestock_stabled,livestock_repeat_count,livestock_notimportant,livestock_notimp_otherpoultry_name,livestock_notimp_other1_name,livestock_notimp_other2_name,livestock_notimp_other3_name,livestock_notimp_cattle,livestock_notimp_sheep,livestock_notimp_goats,livestock_notimp_pigs,livestock_notimp_chicken_poultry,livestock_notimp_rabbits,livestock_notimp_donkeys,livestock_notimp_fish,livestock_notimp_beehives,livestock_notimp_other1,livestock_notimp_other2,livestock_notimp_other3,dairy_products_yn,dairy_products,dairy_products_other,cheese_amount,cheese_units,cheese_time_units,cheese_amount_units_other,cheese_amount_time_units_other,cheese_use,cheese_consumed_amount,cheese_sell_amount,cheese_sold_income,cheese_sold_price_timeunits,butter_amount,butter_units,butter_time_units,butter_amount_units_other,butter_amount_time_units_other,butter_use,butter_consumed_amount,butter_sell_amount,butter_sold_income,butter_sold_price_timeunits,other_dairy_amount,other_dairy_units,other_dairy_time_units,other_dairy_amount_units_other,other_dairy_amount_time_units_other,other_dairy_use,other_dairy_consumed_amount,other_dairy_sell_amount,other_dairy_sold_income,other_dairy_sold_price_timeunits,dairy_products_who_sells,dairy_products_who_control_eating,wool_collect,wool_use,wool_consumed_amount,wool_sell_amount,wool_sold_income,livestock_wool_who_sells,skins_collect,skins_use,skins_consumed_amount,skins_sell_amount,skins_sold_income,livestock_skins_who_sells,rental_collect,rent_out_animals_which,rental_sold_income,livestock_rental_who_sells,livestock_manure,livestock_manure_soil,livestock_manure_store_pile,livestock_manure_store_enclosed,livestock_manure_biodigester,livestock_manure_fuel,livestock_manure_sell,livestock_manure_dispose,generated_note_name_636,grow_crops,generated_note_name_642,crops,crop_count,crops_other1,crops_other2,crops_other3,crops_notimportant,farm_planning_who,veg_count,fruit_count,fodder_count,crop_repeat_count,use_fertilisers,fertiliser_crops,fertiliser_amount,fertiliser_units,fertiliser_type,fertiliser_units_other,fertiliser_type_other,use_manure_compost,manure_compost_crops,land_irrigated,Irrigation_crops,Irrigation_months,manage_trees,tree_uses,tree_uses_other,use_legumes_fertility,agroforestry,generated_note_name_750,gather_wildfoods,wildfoods,wildfood_collect_when,wildfood_importance,wildfood_amount,generated_note_name_764,foodshortagetime,foodshortagetime_months_which,food_worst_month,food_best_month,generated_note_name_773,generated_note_name_774,HFIAS_9,HFIAS_8,HFIAS_7,HFIAS_6,HFIAS_5,HFIAS_4,HFIAS_3,HFIAS_2,HFIAS_1,generated_note_name_787,generated_note_name_788,Grains_roots_tubers,GrainsRootsTubers_good_season,GrainsRootsTubers_bad_season,GrainsRootsTubers_last_month,GrainsRootsTubers_ind24h,GrainsRootsTubers_source,GrainsRootsTubers_source_good,GrainsRootsTubers_source_bad,GrainsRootsTubers_source_last_month,Legumes,Legumes_good_season,Legumes_bad_season,Legumes_last_month,Legumes_ind24h,Legumes_source,Legumes_source_good,Legumes_source_bad,Legumes_source_last_month,Nuts_Seeds,Nuts_Seeds_good_season,Nuts_Seeds_bad_season,Nuts_Seeds_last_month,Nuts_Seeds_ind24h,Nuts_Seeds_source,Nuts_Seeds_source_good,Nuts_Seeds_source_bad,Nuts_Seeds_source_last_month,Veg_Leafy,Veg_Leafy_good_season,Veg_Leafy_bad_season,Veg_Leafy_last_month,Veg_Leafy_ind24h,Veg_Leafy_source,Veg_Leafy_source_good,Veg_Leafy_source_bad,Veg_Leafy_source_last_month,VitA_Veg_Fruit,VitA_Veg_Fruit_good_season,VitA_Veg_Fruit_bad_season,VitA_Veg_Fruit_last_month,VitA_Veg_Fruit_ind24h,VitA_Veg_Fruit_source,VitA_Veg_Fruit_source_good,VitA_Veg_Fruit_source_bad,VitA_Veg_Fruit_source_last_month,Vegetables,Vegetables_good_season,Vegetables_bad_season,Vegetables_last_month,Vegetables_ind24h,Vegetables_source,Vegetables_source_good,Vegetables_source_bad,Vegetables_source_last_month,Fruits,Fruits_good_season,Fruits_bad_season,Fruits_last_month,Fruits_ind24h,Fruits_source,Fruits_source_good,Fruits_source_bad,Fruits_source_last_month,Meat,Meat_good_season,Meat_bad_season,Meat_last_month,Meat_ind24h,Meat_source,Meat_source_good,Meat_source_bad,Meat_source_last_month,Eggs,Eggs_good_season,Eggs_bad_season,Eggs_last_month,Eggs_ind24h,Eggs_source,Eggs_source_good,Eggs_source_bad,Eggs_source_last_month,Milk_Dairy,Milk_Dairy_good_season,Milk_Dairy_bad_season,Milk_Dairy_last_month,Milk_Dairy_ind24h,Milk_Dairy_source,Milk_Dairy_source_good,Milk_Dairy_source_bad,Milk_Dairy_source_last_month,generated_note_name_913,aidreceived,giftsreceived,aidtypes,aid_other,aid_food_amount,gifttypes,gift_other,gift_food_amount,generated_note_name_936,offfarm_incomes_any,offfarm_incomes,offfarm_incomes_count,offfarm_incomes_other,offfarm_income_repeat_count,offfarm_income_proportion,spending_Off_farm_income,spending_On_farm_income,generated_note_name_976,PPI_1,PPI_2,PPI_3,PPI_4,PPI_5,PPI_6,PPI_7,PPI_8,PPI_9,PPI_10,generated_note_name_992,respondent_comments,GPS_latitude,GPS_longitude,_GPS_altitude,_GPS_precision,Additional_respondents,quality_rapport,quality_reliability,end_time_user,endtime_auto,endtime_calculated,notes,instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,RegionName,DistrictID,DistrictName,FarmerGender,FarmerDistrict,FarmerItmYearStart,FarmerItmNumberLastYear,FarmerHerdMobileYn,FarmerCroppingYn,FarmerCatCode,FarmerCat,cattle_tlu,goat_tlu,sheep_tlu,pig_tlu,poultry_tlu,rabbit_tlu,equine_tlu,tot_tlu,milksellshr,prodsysmlk,ItmYearFirst,ItmYearLast,FarmerItmStat,VaccFrmrItmCnt,VaccItmStat,FarmerCatComb
12:30:00.000+03,7/22/17,357947074449894,2017-07-22T12:30:01.993+03,12:30:02,201707221230,Tanzania,000_TZS,'000 TZS,1,2005,1,2005101,Longido,,,dairy_long-term,,50 plus,,,2007,,,1,,,Y,,,Y,,,,,Y,F,Y,,couple,none,50,30,literate,1,2,1,1,1,1,0,0,,own_land,50,10,0,acres,Male Female,,,,,,,40,acres,,Household Hire_labour,flat slope,Y,common_land_close,N,,jan feb mar apr may jun jul aug sep oct nov dec,,,Y,cattle,1,,,,N,1,goats chicken_poultry,,,,,,,5,,50,,,,,,,,Y,other,Cultured milk,,,,,,,,,,,,,,,,,,,,,2,kg,day,,,use,,,,,,Female,,,,,,,N,,,,,,Y,cattle,15,Male,,,,,,,,,,Y,,maize beans,2,,,,potato onion,Male Female,2,0,0,2,N,,,,,,,N,,Y,potato onion,aug sep oct,Y,Fuel,,Intercrop,N,,N,,,,,,Y,feb mar,jan,jul,,,never,never,never,monthly,never,monthly,never,monthly,,,,,daily,weekly,,Y,,on-farm,bought,,,daily,weekly,,Y,,on-farm,bought,,,never,never,,N,,bought,bought,,,monthly,monthly,,,,bought,bought,,,never,never,,N,,bought,bought,,,monthly,monthly,,Y,,bought,bought,,,monthly,never,,N,,bought,bought,,,daily,weekly,,Y,,bought,bought,,,daily,weekly,,Y,,on-farm,on-farm,,,daily,weekly,,Y,,on-farm,on-farm,,,N,N,,,,,,,,Y,ownbusiness,1,,1,Most,possessions invest_people,invest_farm,,5,0,0,6,0,15,4,4,4,12,,What do you do with these informations provided,-6.8,37.7,492,4.5509996,1,medium,4,13:18:00.000+03,2017-07-22T16:33:49.297+03,16:33:49,None,uuid:e5004b40-448b-469b-8276-88d32dc73598,259155,e5004b40-448b-469b-8276-88d32dc73598,2017-07-22T13:34:07,1,,-1,,,20170722,Arusha,6,Longido,M,Longido,2007,1,Y,Y,1,dairy_long-term,25.97394603,1.019426547,0,0,1.58113883,0,0,28.57451141,Most,dairy,2007,2016,long-term,11,active,1
11:51:00.000+03,7/25/17,357947074449845,2017-07-25T11:51:33.018+03,11:51:33,201707251151,Tanzania,000_TZS,'000 TZS,22,2110,1,2110610,Songea,,,pastoralist_just-starting,,1 to 5,,,2014,,,2,,,N,,,Y,,,,,Y,F,N,family_other,woman_single,none,,33,primary,0,2,0,1,1,2,0,0,,own_land,6,0,0,acres,Other_family_male Other_family_female,,,,,,,6,acres,,Household,flat slope,Y,no_grazing,,,,,,Y,cattle goats chicken_poultry,3,,,,Y,3,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,cowpea maize millet cassava,4,,,,,Other_family_male Other_family_female,2,0,0,4,Y,maize,250,kg,Urea,,,Y,maize,N,,,N,,,Intercrop,N,,Y,fruits,jul aug sep oct,not_important,UnderHalf,,Y,jan feb,feb,jul,,,never,never,never,weekly,weekly,weekly,,,,,,,daily,daily,,Y,,on-farm,on-farm,,,daily,weekly,,Y,,on-farm,on-farm,,,weekly,weekly,,N,,bought,bought,,,daily,daily,,Y,,on-farm,on-farm,,,daily,daily,,N,,Free,Free,,,daily,daily,,Y,,bought,bought,,,never,never,,N,,bought,bought,,,daily,daily,,N,,on-farm,on-farm,,,daily,daily,,N,,on-farm,on-farm,,,never,never,,Y,,bought,bought,,,N,Y,,,,Food,,UnderHalf,,Y,ownbusiness,1,,1,UnderHalf,food invest_people,possessions invest_farm,,11,3,0,6,0,15,4,4,4,12,,No,-10.7,35.6,1087,4.5509996,1,easy,5,12:52:00.000+03,2017-07-31T15:51:48.253+03,15:51:48,No,uuid:ab97aff1-2455-4b7a-8b14-a4f95fc7dd58,267977,ab97aff1-2455-4b7a-8b14-a4f95fc7dd58,2017-07-31T13:16:43,2,,-1,,,20170722,Ruvuma,141,Songea Urban,F,Songea,2014,2,N,Y,6,pastoralist_just-starting,1.456375203,0.611655928,0,0,0.948683298,0,0,3.016714429,Most,dairy,2014,2014,inactive,3,active,3
14:10:00.000+03,7/25/17,357947074449845,2017-07-25T14:09:54.681+03,14:09:54,201707251410,Tanzania,000_TZS,'000 TZS,22,2110,1,2110709,Songea,,,"pastoralist_non-itm, active vaccinator",,6 to 20,,herd_6_20,0,,,0,,,N,,,Y,,,,,Y,M,Y,,couple,none,38,31,postsecondary,1,2,2,1,1,1,1,1,,own_land,2,0,0,acres,Male,,,,,,,2,acres,,Household Hire_labour,slope,N,no_grazing,,,,,,Y,cattle chicken_poultry,2,,,,Y,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct sell,,,,,,Most,,,Y,,maize,1,,,,,Male,0,0,0,1,Y,maize,400,kg,Urea SA,,,Y,maize,N,,,N,,,Intercrop,N,,N,,,,,,Y,feb mar,mar,jun,,,never,never,never,never,never,never,never,never,never,,,,daily,daily,,Y,,on-farm bought,on-farm bought,,,daily,daily,,Y,,bought,bought,,,never,never,,N,,bought,bought,,,daily,daily,,Y,,bought,bought,,,daily,weekly,,N,,Free,Free,,,daily,daily,,Y,,bought,bought,,,weekly,weekly,,N,,bought,bought,,,daily,daily,,Y,,on-farm,on-farm,,,monthly,monthly,,N,,on-farm,on-farm,,,daily,daily,,N,,on-farm,on-farm,,,N,N,,,,,,,,Y,gov_institution,1,,1,Most,possessions,food invest_people,,2,3,0,6,9,15,4,4,4,12,,No,-10.7,35.7,1122,4.5509996,1,easy,5,15:02:00.000+03,2017-07-27T21:04:47.025+03,21:04:47,N0,uuid:2915ba6d-85ba-4813-9243-3199b88b81ec,267978,2915ba6d-85ba-4813-9243-3199b88b81ec,2017-07-31T13:16:49,3,,-1,,,20170722,Ruvuma,141,Songea Urban,M,Songea,0,0,N,Y,7,"pastoralist_non-itm, active vaccinator",6.505964426,0,0,0,0.948683298,0,0,7.454647724,Most,dairy,0,0,inactive,3,active,3
15:38:00.000+03,7/25/17,357947074449845,2017-07-25T15:34:50.744+03,15:34:50,201707251538,Tanzania,000_TZS,'000 TZS,22,2111,1,2111202,Songea,,,dairy_just-starting,,1 to 5,,,2017,,,2,,,N,,,Y,,,,,Y,M,Y,,couple,none,65,63,postsecondary,1,3,1,2,0,0,1,1,,own_land,40,0.5,0,acres,Male,,,,,,,40.5,acres,,Hire_labour,flat,N,no_grazing,,,,,,Y,cattle chicken_poultry,2,,,,Y,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize banana,2,,,,,Male Female,4,3,1,2,Y,maize,3000,kg,Urea DAP,,,Y,maize banana,N,,,N,,,No_dont_grow,Y,,N,,,,,,N,,,jul,,,never,never,never,never,never,never,never,never,never,,,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,weekly,N,,,,bought,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,N,N,,,,,,,,N,,,,,,,possessions invest_people,,2,3,13,6,9,15,4,4,4,12,,,-10.6,35.7,1109,4.5509996,1,easy,5,16:24:00.000+03,2017-07-27T21:04:58.966+03,21:04:58,No,uuid:2d18d779-a6b3-4207-8b72-65cafc922758,267979,2d18d779-a6b3-4207-8b72-65cafc922758,2017-07-31T13:16:56,4,,-1,,,20170722,Ruvuma,141,Songea Urban,M,Songea,2017,2,N,Y,2,dairy_just-starting,3,0,0,0,2.846049894,0,0,5.846049894,Half,dairy,2017,2017,just-started,6,active,2
09:40:00.000+03,7/26/17,357947074449845,2017-07-26T09:39:47.229+03,09:39:47,201707260940,Tanzania,000_TZS,'000 TZS,22,2114,1,2114412,Songea,,,"dairy_non-itm, inactive vaccinator",,1 to 5,,,,,,0,,,N,,,Y,,,,,Y,F,N,married_to,couple,none,69,63,postsecondary,0,0,2,1,0,0,1,1,,own_land,6,0,0,acres,Male,,,,,,,6,acres,,Household Hire_labour,slope,Y,no_grazing,,,,,,Y,cattle pigs chicken_poultry,3,,,,Y,3,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize,1,,,,,Male,3,0,0,1,Y,maize,200,kg,Urea SA,,,Y,maize,N,,,N,,,Rotation,N,,Y,fruits,jan dec,important_food,Little,,N,,,jul,,,never,never,never,never,never,never,never,never,never,,,,,,daily,Y,,,,on-farm,,,,daily,N,,,,bought,,,,monthly,N,,,,bought,,,,daily,N,,,,on-farm,,,,weekly,N,,,,bought,,,,daily,N,,,,bought,,,,daily,N,,,,bought,,,,daily,N,,,,bought,,,,weekly,N,,,,on-farm,,,,daily,N,,,,on-farm,,N,Y,,,,Food Cash,,Half,,Y,other,1,Pensions,1,UnderHalf,food possessions,food possessions invest_farm,,28,5,13,6,9,15,4,4,4,12,,,-10.7,35.6,1038,4.5509996,1,easy,4,10:38:00.000+03,2017-07-27T21:05:23.921+03,21:05:23,None,uuid:508a5810-54b5-4004-b1fc-c3c1905f8ec4,267980,508a5810-54b5-4004-b1fc-c3c1905f8ec4,2017-07-31T13:17:07,5,,-1,,,20170722,Ruvuma,141,Songea Urban,F,Songea,,0,N,Y,4,"dairy_non-itm, inactive vaccinator",2.252982213,0,0,4.486046344,1.960612149,0,0,8.699640706,Most,dairy,0,0,inactive,1,active,3
13:09:00.000+03,7/26/17,357947074449845,2017-07-26T12:05:03.223+03,12:05:03,201707261309,Tanzania,000_TZS,'000 TZS,22,2110,1,2110703,Songea,,,"pastoralist_non-itm, active vaccinator",,21 to 50,,,0,,,0,,,N,,,Y,,,,,Y,F,N,married_to,couple,none,61,59,postsecondary,1,1,3,2,1,1,1,1,,own_land,10,0,0,acres,Male Female,,,,,,,10,acres,,Household Hire_labour,slope,Y,no_grazing,,,,,,Y,cattle goats chicken_poultry,3,,,,Y,3,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize beans,2,,,,,Male Female,3,5,0,2,Y,maize,400,kg,Urea NPK_171717 SA Phosphate,,,Y,maize,N,,,N,,,No_dont_grow,N,,N,,,,,,N,,,jul,,,never,never,never,never,never,never,never,never,never,,,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,weekly,N,,,,bought,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,bought,,,,daily,N,,,,bought,,,,daily,Y,,,,on-farm,,,,daily,N,,,,on-farm,,,,daily,Y,,,,on-farm,,N,N,,,,,,,,Y,gov_institution,1,,1,Most,food possessions invest_people,food possessions,,11,0,13,6,9,15,4,4,4,12,,,-10.7,35.6,1033,4.5509996,1,easy,4,13:50:00.000+03,2017-07-27T21:04:22.025+03,21:04:22,,uuid:3e981055-3011-46dd-8d10-6e17ebd8343d,267981,3e981055-3011-46dd-8d10-6e17ebd8343d,2017-07-31T13:17:20,6,,-1,,,20170722,Ruvuma,141,Songea Urban,M,Songea,0,0,N,Y,7,"pastoralist_non-itm, active vaccinator",4.962339628,1.223311856,0,0,0.948683298,0,0,7.134334783,Most,dairy,0,0,inactive,3,active,3
14:17:00.000+03,7/26/17,357947074449845,2017-07-26T14:17:13.915+03,14:17:13,201707261417,Tanzania,000_TZS,'000 TZS,22,2111,1,2111206,Songea,,,dairy_just-starting,,1 to 5,,,2016,,,4,,,N,,,Y,,,,,Y,M,Y,,couple,none,38,32,primary,1,1,0,0,1,1,0,0,,rent_in_land,,,,,,,2,acres,,,,2,acres,,Household,slope,N,no_grazing,,,,,,Y,cattle goats,2,,,,Y,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,dispose,,,,,,,,,Y,,maize,1,,,,,Male,0,0,0,1,Y,maize,100,kg,Urea SA,,,N,,N,,,N,,,No_dont_grow,N,,Y,fruits,oct nov,important_food,Little,,N,,,jul,,,never,never,never,never,never,daily,,,,,,,,,daily,Y,,,,bought,,,,monthly,N,,,,bought,,,,never,N,,,,bought,,,,daily,Y,,,,bought,,,,monthly,N,,,,on-farm,,,,daily,Y,,,,on-farm,,,,never,N,,,,bought,,,,monthly,N,,,,bought,,,,never,N,,,,bought,,,,daily,Y,,,,on-farm,,N,Y,,,,Cash,,,,Y,other,1,Self employment,1,Most,food possessions,food possessions,,14,3,0,0,0,0,0,0,4,12,,,-10.7,35.6,1029,4.5509996,1,easy,5,14:49:00.000+03,2017-07-27T21:05:13.286+03,21:05:13,,uuid:5581a794-3050-4bff-b812-89b4df0f5f43,267982,5581a794-3050-4bff-b812-89b4df0f5f43,2017-07-31T13:17:38,7,,-1,,,20170722,Ruvuma,141,Songea Urban,M,Songea,2016,4,N,Y,2,dairy_just-starting,1.252982213,0.611655928,0,0,0,0,0,1.864638141,Most,dairy,2016,2016,just-started,6,active,2
12:03:00.000+03,7/28/17,357947074449845,2017-07-27T12:03:10.058+03,12:03:10,201707281203,Tanzania,000_TZS,'000 TZS,17,1053,1,1053302,Njombe,,,"dairy_non-itm, active vaccinator",,1 to 5,,,0,,,0,,,N,,,Y,,,,,Y,F,N,married_to,couple,none,68,52,secondary,0,1,5,2,0,0,1,1,,own_land,2,0,1,acres,Female,,,,,,,3,acres,,Household Hire_labour,slope,N,no_grazing,,,,,,Y,cattle pigs chicken_poultry fish,4,,,,Y,4,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize,1,,,,,Female,2,3,3,1,Y,maize,100,kg,Urea NPK_171717,,,Y,maize,N,,,Y,Food,,Intercrop,Y,,N,,,,,,N,,,jul,,,never,never,never,never,never,never,never,never,never,,,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,bought,,,,monthly,N,,,,bought,,,,daily,Y,,,,on-farm,,,,daily,N,,,,on-farm bought,,,,daily,Y,,,,bought,,,,daily,Y,,,,on-farm,,,,daily,N,,,,on-farm,,,,weekly,N,,,,on-farm,,,,daily,Y,,,,on-farm,,N,Y,,,,Food,,UnderHalf,,N,,,,,,,food possessions invest_people,,14,3,0,6,9,0,4,4,4,12,,,-9,34.9,1673,4.5509996,1,easy,5,12:44:00.000+03,2017-07-31T15:50:45.815+03,15:50:45,,uuid:d36575e4-bf64-4d48-b6b4-0a4358f159f1,267983,d36575e4-bf64-4d48-b6b4-0a4358f159f1,2017-07-31T13:17:59,8,,-1,,,20170722,Njombe,117,Njombe Urban,F,Njombe,0,0,N,Y,3,"dairy_non-itm, active vaccinator",10.77591159,0,0,0.598139512,1.897366596,0,0,13.2714177,Most,dairy,0,0,inactive,2,active,3
14:00:00.000+03,7/28/17,357947074449845,2017-07-27T14:00:35.471+03,14:00:35,201707281400,Tanzania,000_TZS,'000 TZS,17,1072,1,1072114,Njombe DC,,,dairy_long-term,,1 to 5,,,2010,,,1,,,N,,,Y,,,,,Y,M,Y,,couple,none,53,50,primary,2,2,1,2,0,1,1,1,,own_land,7,0,0.5,acres,Male,,,,,,,7.5,acres,,Household,slope,N,no_grazing,,,,,,Y,cattle pigs chicken_poultry,3,,,,Y,3,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize potato,2,,,,,Male Female,3,2,3,2,Y,maize,250,kg,Urea DAP,,,Y,maize potato,N,,,N,,,No_dont_grow,N,,N,,,,,,N,,,may,,,never,never,never,never,never,never,never,never,never,,,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,on-farm,,,,daily,Y,,,,bought,,,,daily,Y,,,,on-farm,,,,monthly,N,,,,bought,,,,daily,Y,,,,bought,,,,daily,Y,,,,bought,,,,daily,Y,,,,on-farm,,,,monthly,N,,,,on-farm,,,,daily,Y,,,,on-farm,,N,N,,,,,,,,N,,,,,,,food possessions invest_farm invest_people,,5,3,0,6,0,15,4,4,4,12,,,-9,34.8,1788,4.5509996,1,easy,5,14:31:00.000+03,2017-07-31T15:50:56.474+03,15:50:56,None,uuid:f5d73fee-7dab-4137-98d7-26eeb81cf02f,267984,f5d73fee-7dab-4137-98d7-26eeb81cf02f,2017-07-31T13:18:27,9,,-1,,,20170722,Njombe,117,Njombe Urban,M,Njombe DC,2010,1,N,Y,1,dairy_long-term,2.252982213,0,0,0.598139512,1.58113883,0,0,4.432260555,Most,dairy,2010,2014,inactive,1,active,3
14:55:00.000+03,7/29/17,357947074449845,2017-07-27T14:54:56.467+03,14:54:56,201707291455,Tanzania,000_TZS,'000 TZS,17,1072,1,1072115,Njombe DC,,,dairy_long-term,,1 to 5,,,2004,,,1,,,N,,,Y,,,,,Y,M,Y,,couple,none,38,38,primary,0,2,1,2,1,1,0,0,,rent_in_land,,,,,,,4,acres,,,,4,acres,,Household Hire_labour,flat,N,no_grazing,,,,,,Y,cattle,1,,,,Y,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize,1,,,,,Male Female,0,0,0,1,Y,maize,200,kg,SA,,,Y,maize,N,,,N,,,No_dont_grow,N,,N,,,,,,N,,,jun,,,never,never,never,never,never,never,never,never,never,,,,,,daily,Y,,,,on-farm,,,,weekly,Y,,,,bought,,,,weekly,N,,,,bought,,,,daily,Y,,,,bought,,,,weekly,N,,,,bought,,,,daily,Y,,,,bought,,,,monthly,N,,,,bought,,,,monthly,N,,,,bought,,,,monthly,N,,,,bought,,,,monthly,N,,,,bought,,Y,N,Agri_Inputs,,,,,,,Y,otherlabour,1,,1,Most,food possessions invest_farm invest_people,food possessions invest_farm invest_people,,5,3,13,6,0,15,4,4,4,12,,,-9,34.8,1818,4.5509996,1,easy,5,15:26:00.000+03,2017-07-31T15:51:10.546+03,15:51:10,,uuid:e98f831c-3ce8-4b16-8708-7c043c8acef9,267985,e98f831c-3ce8-4b16-8708-7c043c8acef9,2017-07-31T13:18:32,10,,-1,,,20170722,Njombe,117,Njombe Urban,F,Njombe DC,2004,1,N,Y,1,dairy_long-term,1.187696046,0,0,0,0,0,0,1.187696046,Most,dairy,2004,2014,inactive,1,active,3
