start_time_user,date_user,deviceid,starttime_auto,starttime_calculated,date_time,country,local_currency,currency_label,RegionID,VaccID,priority_backup,HouseholdID,FarmerLocation,farmer_location,farmer_location_new,FarmerCat1,Categorisation,HerdSizeCat,herd_size_cat,herd_size_cat_new,ItmStartYear,itm_start_year,ItmStartYearNew,ItmLastYearNumber,itm_last_year_number,ItmLastYearNumberNew,HerdMobileYN,herd_mobile,HerdMobileYnNew,CroppingYN,cropping_yn,cropping_yn_new,NoteUpdateBackInfo,agreement,participation,respondentsex,respondent_is_head,household_position,household_type,work_away,age_malehead,age_femalehead,education_level,children_under_4,children_4to10,males11to24,females11to24,males25to50,females25to50,malesover50,femalesover50,generated_note_name_101,land_tenure,landowned_crop,landowned_grass_enclosed,landowned_grass_open,unitland_owned,land_ownership,areaunits_other_own,landrentin,unitland_rentin,landrentout,unitland_rentout,areaunits_other_rent,landcultivated,unitland,areaunits_other,Farm_labour,land_slope,homegarden,pasture_grazing,pastureland_controldry,pastureland_controlown_when,pastureland_commonland_when,pastureland_awayland_when,generated_note_name_138,livestock_owners,livestock,livestock_count,livestock_other1,livestock_other2,livestock_other3,livestock_stabled,livestock_repeat_count,livestock_notimportant,livestock_notimp_otherpoultry_name,livestock_notimp_other1_name,livestock_notimp_other2_name,livestock_notimp_other3_name,livestock_notimp_cattle,livestock_notimp_sheep,livestock_notimp_goats,livestock_notimp_pigs,livestock_notimp_chicken_poultry,livestock_notimp_rabbits,livestock_notimp_donkeys,livestock_notimp_fish,livestock_notimp_beehives,livestock_notimp_other1,livestock_notimp_other2,livestock_notimp_other3,dairy_products_yn,dairy_products,dairy_products_other,cheese_amount,cheese_units,cheese_time_units,cheese_amount_units_other,cheese_amount_time_units_other,cheese_use,cheese_consumed_amount,cheese_sell_amount,cheese_sold_income,cheese_sold_price_timeunits,butter_amount,butter_units,butter_time_units,butter_amount_units_other,butter_amount_time_units_other,butter_use,butter_consumed_amount,butter_sell_amount,butter_sold_income,butter_sold_price_timeunits,other_dairy_amount,other_dairy_units,other_dairy_time_units,other_dairy_amount_units_other,other_dairy_amount_time_units_other,other_dairy_use,other_dairy_consumed_amount,other_dairy_sell_amount,other_dairy_sold_income,other_dairy_sold_price_timeunits,dairy_products_who_sells,dairy_products_who_control_eating,wool_collect,wool_use,wool_consumed_amount,wool_sell_amount,wool_sold_income,livestock_wool_who_sells,skins_collect,skins_use,skins_consumed_amount,skins_sell_amount,skins_sold_income,livestock_skins_who_sells,rental_collect,rent_out_animals_which,rental_sold_income,livestock_rental_who_sells,livestock_manure,livestock_manure_soil,livestock_manure_store_pile,livestock_manure_store_enclosed,livestock_manure_biodigester,livestock_manure_fuel,livestock_manure_sell,livestock_manure_dispose,generated_note_name_636,grow_crops,generated_note_name_642,crops,crop_count,crops_other1,crops_other2,crops_other3,crops_notimportant,farm_planning_who,veg_count,fruit_count,fodder_count,crop_repeat_count,use_fertilisers,fertiliser_crops,fertiliser_amount,fertiliser_units,fertiliser_type,fertiliser_units_other,fertiliser_type_other,use_manure_compost,manure_compost_crops,land_irrigated,Irrigation_crops,Irrigation_months,manage_trees,tree_uses,tree_uses_other,use_legumes_fertility,agroforestry,generated_note_name_750,gather_wildfoods,wildfoods,wildfood_collect_when,wildfood_importance,wildfood_amount,generated_note_name_764,foodshortagetime,foodshortagetime_months_which,food_worst_month,food_best_month,generated_note_name_773,generated_note_name_774,HFIAS_9,HFIAS_8,HFIAS_7,HFIAS_6,HFIAS_5,HFIAS_4,HFIAS_3,HFIAS_2,HFIAS_1,generated_note_name_787,generated_note_name_788,Grains_roots_tubers,GrainsRootsTubers_good_season,GrainsRootsTubers_bad_season,GrainsRootsTubers_last_month,GrainsRootsTubers_ind24h,GrainsRootsTubers_source,GrainsRootsTubers_source_good,GrainsRootsTubers_source_bad,GrainsRootsTubers_source_last_month,Legumes,Legumes_good_season,Legumes_bad_season,Legumes_last_month,Legumes_ind24h,Legumes_source,Legumes_source_good,Legumes_source_bad,Legumes_source_last_month,Nuts_Seeds,Nuts_Seeds_good_season,Nuts_Seeds_bad_season,Nuts_Seeds_last_month,Nuts_Seeds_ind24h,Nuts_Seeds_source,Nuts_Seeds_source_good,Nuts_Seeds_source_bad,Nuts_Seeds_source_last_month,Veg_Leafy,Veg_Leafy_good_season,Veg_Leafy_bad_season,Veg_Leafy_last_month,Veg_Leafy_ind24h,Veg_Leafy_source,Veg_Leafy_source_good,Veg_Leafy_source_bad,Veg_Leafy_source_last_month,VitA_Veg_Fruit,VitA_Veg_Fruit_good_season,VitA_Veg_Fruit_bad_season,VitA_Veg_Fruit_last_month,VitA_Veg_Fruit_ind24h,VitA_Veg_Fruit_source,VitA_Veg_Fruit_source_good,VitA_Veg_Fruit_source_bad,VitA_Veg_Fruit_source_last_month,Vegetables,Vegetables_good_season,Vegetables_bad_season,Vegetables_last_month,Vegetables_ind24h,Vegetables_source,Vegetables_source_good,Vegetables_source_bad,Vegetables_source_last_month,Fruits,Fruits_good_season,Fruits_bad_season,Fruits_last_month,Fruits_ind24h,Fruits_source,Fruits_source_good,Fruits_source_bad,Fruits_source_last_month,Meat,Meat_good_season,Meat_bad_season,Meat_last_month,Meat_ind24h,Meat_source,Meat_source_good,Meat_source_bad,Meat_source_last_month,Eggs,Eggs_good_season,Eggs_bad_season,Eggs_last_month,Eggs_ind24h,Eggs_source,Eggs_source_good,Eggs_source_bad,Eggs_source_last_month,Milk_Dairy,Milk_Dairy_good_season,Milk_Dairy_bad_season,Milk_Dairy_last_month,Milk_Dairy_ind24h,Milk_Dairy_source,Milk_Dairy_source_good,Milk_Dairy_source_bad,Milk_Dairy_source_last_month,generated_note_name_913,aidreceived,giftsreceived,aidtypes,aid_other,aid_food_amount,gifttypes,gift_other,gift_food_amount,generated_note_name_936,offfarm_incomes_any,offfarm_incomes,offfarm_incomes_count,offfarm_incomes_other,offfarm_income_repeat_count,offfarm_income_proportion,spending_Off_farm_income,spending_On_farm_income,generated_note_name_976,PPI_1,PPI_2,PPI_3,PPI_4,PPI_5,PPI_6,PPI_7,PPI_8,PPI_9,PPI_10,generated_note_name_992,respondent_comments,GPS_latitude,GPS_longitude,_GPS_altitude,_GPS_precision,Additional_respondents,quality_rapport,quality_reliability,end_time_user,endtime_auto,endtime_calculated,notes,instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,RegionName,DistrictID,DistrictName,FarmerGender,FarmerDistrict,FarmerItmYearStart,FarmerItmNumberLastYear,FarmerHerdMobileYn,FarmerCroppingYn,FarmerCatCode,FarmerCat,cattle_tlu,goat_tlu,sheep_tlu,pig_tlu,poultry_tlu,rabbit_tlu,equine_tlu,tot_tlu,milksellshr,prodsysmlk,ItmYearFirst,ItmYearLast,FarmerItmStat,VaccFrmrItmCnt,VaccItmStat,FarmerCatComb
09:45:00.000+03,11/28/17,357947074449795,2017-11-28T11:50:54.313+03,11:53:32,201708091126.0,Tanzania,000_TZS,'000 TZS,24,1061,1,3146210,Busega,,,dairy_long-term,,50 plus,,herd_21_50,2016.0,,,2,,,N,,,Y,,,,,Y,M,Y,,woman_single,none,,43.0,primary,0,0,1,2,1,1,1,0,,own_land,45.0,0.0,0.0,acres,Male,,,,,,,3.0,acres,,Household Hire_labour,slope,Y,no_grazing,N,,jan dec,,,Y,cattle,3,Dogs,,,Y,1,chicken_poultry,,,,,,,,,,,,,,4.0,,,N,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,Male Female,,,,,,,N,,,,,,N,,,,dispose,,,,,,,,,Y,,maize,2.0,,,,,Male,3.0,0.0,0.0,1.0,N,,,,,,,N,maize beans,N,,,N,,,No_crop_only,N,,N,,,,,,N,,feb,aug,,,never,never,never,never,never,monthly,,never,,,,,,,daily,Y,,,,on-farm bought,,,monthly,daily,N,,,,bought,,,,monthly,N,,,,bought,,weekly,,weekly,Y,,,,bought,,,,monthly,Y,,,,bought,,,,daily,Y,,,,,,,monthly,weekly,N,,,on-farm,bought,,,,,N,,,,bought,,monthly,never,never,N,,on-farm,on-farm,bought,,,daily,daily,Y,,,on-farm,on-farm bought Free,,N,N,,,,,,,,N,,,,1.0,,possessions invest_people,food possessions invest_farm invest_people,,0,3,6,6,0,0,4,4.0,4.0,a0,,,-2.6,36.6,1538,4.5509996,1,medium,4,12:07:00.000+03,2017-12-06T06:34:24.662+03,06:33:28,,uuid:86558ab1-887a-4cbf-a760-04f5346295ed,332028,f498338a-506b-41b0-8d03-56cff6afb3fe,2017-08-27T16:53:46,267,,-1,,,20170722,Simiyu,26.0,Kiteto,M,Misungwi DC,2014.0,30,Y,Y,1,"pastoralist_non-itm, active vaccinator",1.252982213,0.0,0.0,0.0,0.474341649,0.0,0.0,41.09522343,Most,dairy,0,2017,inactive,0,active,4
13:31:00.000+03,8/30/17,357947074464364,2017-08-30T12:49:34.652+03,11:01:32,201711281120.0,Tanzania,000_TZS,'000 TZS,11,3126,1,2073210,SIMANJIRO,,,"dairy_non-itm, inactive vaccinator",,6 to 20,,,2017.0,,,51,,,Y,,,Y,,Y,,,Y,M,N,,couple,none,31.0,43.0,secondary,1,1,1,1,1,1,1,0,,own_land,1.0,0.0,1.5,acres,Male,,,,,,,1.0,acres,,Household Hire_labour,flat slope,Y,common_land_close,N,,,,,Y,cattle goats,3,,,,Y,1,chicken_poultry,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,store_enclosed,,,,,,,,,Y,,maize,1.0,,,,,Male Female,1.0,2.0,0.0,1.0,Y,,,kg,,,,Y,,N,,,N,,,No_crop_only,N,,N,,,,,,N,,,apr,,,never,never,never,never,never,never,monthly,never,,,,,daily,daily,daily,Y,,,,on-farm,,monthly,,daily,Y,,bought,,,,,,monthly,N,,,,bought,,,,daily,Y,,,Free,on-farm bought,,,,,Y,,,,bought,,daily,,daily,N,,,,on-farm,,,,monthly,N,,,bought,on-farm bought,,monthly,weekly,monthly,N,,,,bought,,,monthly,,Y,,,,on-farm,,,,daily,N,,,on-farm,on-farm,,N,N,,,,,,,,Y,ownbusiness,1.0,,1.0,,possessions invest_farm invest_people,food possessions invest_farm invest_people,,5,3,0,0,0,0,4,4.0,4.0,12,,,-3.1,33.8,1090,4.5509996,1,medium,3,12:45:00.000+03,2017-11-23T15:18:11.712+03,06:34:24,,uuid:7f0ce3e9-ab4b-48da-83f3-f2c998ead38a,332038,d9c91247-eed7-4919-8c14-d902de7509de,2017-09-14T07:29:04,373,,-1,,,20170722,Rukwa,20.0,Rungwe,M,Nkasi,0.0,0,N,Y,1,"pastoralist_non-itm, inactive vaccinator",278.73888839999995,13.25254511,0.0,1.495348781,0.0,0.0,0.0,31.36510935,Most,dairy,0,2017,just-started,7,inactive,3
13:31:00.000+03,7/25/17,357947074464364,2017-11-18T12:03:39.875+03,10:47:41,201707291247.0,Tanzania,000_TZS,'000 TZS,12,3216,1,3132104,Mbeya Urban,,,"pastoralist_non-itm, inactive vaccinator",,50 plus,,herd_1_5,2016.0,,,2,,0.0,Y,,,Y,,,,,Y,M,Y,,couple,none,,45.0,primary,3,0,2,2,1,1,0,0,,communal_land,2.0,0.0,0.0,acres,Male,,,,1.0,,,6.0,acres,,Household Hire_labour,flat slope,Y,own_land common_land_close,N,,,,,Y,cattle,1,,,,Y,4,chicken_poultry,,,,,,,26.0,,,,,,,,,,Y,,,,,,,,,,,,,,,month,,,,,,,,,,,,,,Half,,,,,,N,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,N,,maize,2.0,,,,,Male Female,3.0,1.0,0.0,1.0,Y,,,,,,,Y,maize cassava banana,N,,,N,Food Fuel Timber Land_benefits,,No_crop_only,N,,N,meat fruits plants medicines,,,,,N,apr may,dec,may,,,weekly,never,never,,never,never,never,,,,,,,,daily,Y,,,on-farm,on-farm,,weekly,,daily,N,,,,bought,,monthly,,monthly,N,,,,bought,,daily,,daily,Y,,,,bought,,,,monthly,N,,,,,,,,,Y,,,,bought,,never,never,weekly,N,,,,on-farm bought,,daily,monthly,weekly,Y,,,,on-farm bought,,,,,N,,,,on-farm,,,,daily,N,,,,on-farm bought,,N,N,,,,,,,,N,,,,,,food possessions invest_farm invest_people,food possessions invest_farm invest_people,,0,3,6,6,0,0,4,4.0,4.0,12,,,-2.7,36.5,1496,4.5509996,1,easy,4,15:10:00.000+03,2017-08-27T08:38:31.616+03,10:08:07,,uuid:3e9f0868-f6de-4645-8a2a-536686e1a43e,459937,d53b0959-407d-4e30-ad7b-d2550225b73a,2017-09-13T09:16:07,809,,-1,,,20170722,Manyara,78.0,Arusha Urban,F,KYELA,,1,N,Y,6,pastoralist_long-term,164.34058230000002,0.0,0.0,0.0,0.316227766,0.507591067,0.0,3.252982213,Most,dairy,2003,2017,inactive,6,inactive,1
,8/14/17,357947074449837,2017-08-12T10:10:13.329+03,16:01:51,201712011005.0,Tanzania,000_TZS,'000 TZS,13,1061,1,3220605,KAGERA,,,"pastoralist_non-itm, inactive vaccinator",,50 plus,,,2013.0,,,0,,,N,,,Y,,,,,Y,M,Y,,couple,none,,69.0,primary,1,0,1,1,0,1,1,0,,own_land,10.0,0.0,0.0,acres,Male,,,acres,,,,1.0,acres,,Household Hire_labour,flat,Y,own_land others_land_close common_land_close others_land_away common_land_away,N,,,,,Y,cattle,1,,,,Y,5,goats sheep chicken_poultry donkeys_horses,,,,,,,,,7.0,,,,,,,,N,other,,,,,,,,,,,,,,,,,,,,,,,,,,,use,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize,2.0,,,,,Male Female,0.0,2.0,0.0,1.0,N,,20.0,,,,,Y,maize beans,N,,,N,,,No_crop_only,,,N,,,,,,Y,,,sep,,,monthly,never,monthly,,never,never,weekly,never,,,,,daily,,daily,Y,,,,on-farm,,daily,monthly,,Y,,,,bought,,,,weekly,N,,,,bought Free,,,,daily,Y,,,,bought,,,weekly,daily,N,,bought,,on-farm bought,,,,weekly,Y,,,,,,,,never,N,,,,on-farm,,weekly,monthly,daily,N,,,,,,monthly,,,N,,,on-farm bought,on-farm,,,,,Y,,,,bought,,N,Y,,,,,,,,N,,,Work in NGO,,Little,,possessions invest_farm,,17,3,0,6,0,15,4,4.0,4.0,12,,"We need insecticides for our crops, vaccine is very expensive",-6.4,35.4,1182,4.5509996,1,easy,4,13:08:00.000+03,2017-09-13T13:05:28.458+03,22:06:52,,uuid:b53190d9-5f71-4453-b484-37d5e1d6fa19,447806,5581a794-3050-4bff-b812-89b4df0f5f43,2017-12-06T03:31:04,262,,-1,,,20170722,Manyara,20.0,Korogwe,KE,Muleba,2017.0,1,Y,Y,2,"dairy_non-itm, inactive vaccinator",2.934713833,0.815541238,0.0,0.0,0.22135943600000002,0.0,0.0,16.62656718,Most,dairy,2009,0,inactive,7,inactive,3
09:51:00.000+03,11/29/17,357947074450462,2017-09-09T09:27:16.412+03,11:49:36,201707261110.0,Tanzania,000_TZS,'000 TZS,16,3135,1,3147411,Bukombe,,Rorya-omuga,dairy_long-term,,50 plus,,herd_1_5,2017.0,,,20,,,Y,,,Y,,,,,Y,M,Y,,couple,none,0.0,29.0,primary,0,2,3,4,1,1,0,0,,own_land,6.0,0.0,0.0,,Female,,,,,,,0.25,acres,,Hire_labour,flat slope,Y,no_grazing,,,,,,Y,cattle,1,,,,N,1,goats chicken_poultry,,,,,,,,,,,,,,,,,Y,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,Y,,,,store_enclosed,,,,,,,,,Y,,maize,1.0,,,,,Male Female,1.0,,,2.0,N,,,,,,,N,maize,N,,,Only_felling,,,No_dont_grow,N,,N,,,,,,N,,mar,aug,,,never,weekly,never,never,never,never,monthly,never,,,,,,,daily,Y,,,,on-farm,,monthly,weekly,weekly,Y,,,,,,never,monthly,never,N,,,,bought,,,weekly,monthly,Y,,,,bought,,,,daily,N,,,,bought,,,,,Y,,,,,,daily,,never,N,,,,,,,,daily,N,,,,on-farm,,,,weekly,N,,,,on-farm,,,,never,N,,,,on-farm bought,,N,N,,,,Cash,,,,N,ownbusiness,,,1.0,,,food possessions invest_farm invest_people,,28,0,6,6,0,0,4,4.0,4.0,12,,,-3.9,35.8,1312,4.5509996,2,medium,1,11:02:00.000+03,2017-08-06T23:30:54.352+03,17:34:39,,uuid:6c8fffa7-ea2b-4b6f-9887-28f350cc0c69,297016,34823fda-282e-4f74-be2c-3dbafa47b425,2017-08-27T15:53:30,214,,-1,,,20170722,Tabora,8.0,Ileje,M,GEITA,2017.0,1,N,N,1,dairy_long-term,82.23314615,3.6699355689999997,0.0,0.0,0.158113883,0.0,0.0,23.960373999999998,Most,dairy,0,2017,inactive,14,active,4
12:04:00.000+03,11/23/17,357947074450462,2017-08-18T10:43:28.822+03,11:38:57,201708121154.0,Tanzania,000_TZS,'000 TZS,26,2089,1,2062205,Mufindi,,,,,1 to 5,,herd_50_plus,,,,2,,45.0,N,,,Y,,,,,Y,M,Y,,couple,man_works_away,35.0,57.0,primary,0,0,1,1,0,4,1,0,,own_land,37.0,0.0,0.0,acres,Male Female,,,,,,,8.0,acres,,Reciprocal,flat slope,N,own_land others_land_close common_land_close,,,jan feb mar apr may jun jul aug,,,Y,cattle,1,,,,Y,4,,,,,,,,40.0,,129.0,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,day,,,,,,,,,Female,,,,,,,N,,,,,,N,,,,store_enclosed,,,,,,,,,Y,,maize fodder_grass,1.0,,,,,Male Female,1.0,2.0,0.0,1.0,N,,,,,,,,maize,N,,,Y,Food Fuel Timber,,No_crop_only,N,,N,,,,Little,,N,,,jun,,,never,,never,never,,never,never,monthly,never,,,,,,,Y,,,,on-farm bought,,,,weekly,Y,,,,,,,monthly,,N,,,,bought,,,daily,weekly,Y,,,,on-farm bought,,,,daily,N,,,,,,never,monthly,daily,Y,,,on-farm bought,bought,,,,daily,N,,,,bought,,weekly,weekly,daily,N,,,,on-farm,,,,never,N,,,,on-farm bought Free,,monthly,,,Y,,,,on-farm bought,,N,N,,,,,,,,N,ownbusiness other,1.0,,2.0,UnderHalf,,possessions invest_farm,,0,3,0,6,9,15,4,4.0,4.0,12,, High cost of animal medicines and treatments,-8.7,35.8,1492,4.5509996,2,medium,3,11:46:00.000+03,2017-12-03T21:26:58.426+03,14:08:04,,uuid:97652fa5-ad67-4dc8-9874-0d36d1a8fde1,305561,0b07fc0b-b089-4e61-9b8e-65b03525a7b7,2017-08-14T18:21:24,688,,-1,,,20170722,Njombe,,Bagamoyo,,Kalambo,2016.0,1,N,Y,7,dairy_long-term,88.91079356,10.19426547,0.0,0.0,0.474341649,0.0,0.0,51.36318447,Half,pstrl,0,2016,inactive,6,inactive,4
11:28:00.000+03,9/5/17,357947074464794,2017-08-28T12:09:36.424+03,13:59:45,201709020934.0,Tanzania,000_TZS,'000 TZS,21,3212,1,2005509,Chato,,Embret,"pastoralist_non-itm, inactive vaccinator",,1 to 5,,,0.0,,,0,,,Y,,,Y,,,,,Y,F,Y,,couple,none,57.0,57.0,literate,10,5,3,1,0,1,1,1,,own_land,2.0,0.0,0.0,acres,Male,,,,,,,2.05,acres,,Household Hire_labour,flat,Y,own_land,,,,,,Y,cattle goats chicken_poultry,1,,,,N,1,goats sheep chicken_poultry,,,,,,,,,,,,,,,,,Y,,,,,week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,cattle,,,store_enclosed,,,,,,,,,Y,,cassava banana,1.0,,,,,Male,0.0,,0.0,1.0,Y,potato onion tomato,,kg,,,,Y,maize beans banana,N,rice,,N,Fuel Timber Other,,No_dont_grow,N,,Y,,,,,,N,,dec,aug,,,monthly,never,never,never,never,monthly,monthly,never,never,,,,daily,monthly,daily,Y,,,bought,,,daily,monthly,daily,Y,,,,,,,weekly,never,N,,,,bought,,daily,,weekly,N,,,,on-farm,,weekly,,monthly,N,,,,bought,,,,daily,Y,,,bought,,,,,daily,N,,,,on-farm bought,,,,daily,N,,,bought,on-farm,,monthly,never,monthly,N,,on-farm bought Free,,,,,,never,Y,,bought Free,,on-farm,,N,N,Animals,,,,,,,N,ownbusiness,,,,,,food possessions invest_farm invest_people,,5,5,0,6,0,0,4,4.0,0.0,12,,,-3.4,33.4,1143,4.5509996,1,medium,4,14:57:00.000+03,2017-08-20T18:06:17.780+03,16:53:47,Respondent show a desire to know more about results of this study,uuid:8319d6e7-ae2b-40fa-9a34-b769b00db079,458224,b4706dd6-fa5d-472a-8679-becb2472a339,2017-11-29T17:58:01,570,,-1,,,20170722,Pwani,,Mufindi,M,Nyang'ware,,0,N,Y,1,"pastoralist_non-itm, inactive vaccinator",91.54621444,0.0,1.223311856,0.0,0.0,0.0,0.0,113.1468617,All,dairy,0,2016,inactive,1,active,4
12:55:00.000+03,11/22/17,357947074449845,2017-11-20T10:24:39.520+03,12:54:18,201708091424.0,Tanzania,000_TZS,'000 TZS,6,3243,1,3077806,KAGERA,,,"pastoralist_non-itm, active vaccinator",,6 to 20,,herd_1_5,2017.0,,,31,,1.0,N,,,Y,,,,,Y,M,Y,,couple,none,,28.0,primary,7,0,3,0,1,1,0,0,,own_land communal_land,11.0,0.0,0.0,acres,Male Female,,,,,,,16.0,acres,,Household Hire_labour,flat slope,Y,no_grazing,N,jan feb jun jul aug,,,,Y,cattle chicken_poultry,3,,,,Y,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,dispose,,,,,,,,,Y,,maize,1.0,,,,,Male Female,1.0,3.0,0.0,,Y,,,kg,,,,N,maize millet beans other1,N,,,Only_felling,Food Fuel,,No_dont_grow,N,,N,,,,,,N,,,jun,,,never,never,never,never,monthly,never,never,,never,,,,daily,,daily,Y,,,,on-farm,,,daily,,Y,,,,bought,,,never,never,,,,,bought,,,daily,daily,Y,,,,bought,,,,weekly,Y,,,,,,,monthly,monthly,Y,,,,bought,,,,weekly,N,,,,on-farm bought,,,,monthly,N,,,,on-farm bought,,,,weekly,N,,,,on-farm,,,,weekly,Y,,,on-farm,on-farm,,N,N,,,,,,,,N,,,,1.0,UnderHalf,,food possessions invest_farm invest_people,,14,0,13,6,0,0,4,4.0,4.0,12,,,-5.3,31.7,1082,4.5509996,1,medium,3,16:57:00.000+03,2017-11-27T10:08:28.926+03,21:14:49,,uuid:3e9f0868-f6de-4645-8a2a-536686e1a43e,331541,99213e6c-a781-4ba2-a268-e20fc2dc8c36,2017-08-20T15:16:10,57,,-1,,,20170722,Shinyanga,144.0,Chato,M,H/Kahama,1997.0,1,N,Y,4,"dairy_non-itm, inactive vaccinator",19.63403667,0.0,27.52451677,0.0,0.0,0.0,0.0,2.043551628,Most,dairy,0,2017,long-term,12,inactive,3
11:33:00.000+03,11/21/17,357947074449688,2017-08-23T14:13:51.363+03,13:22:04,201708310910.0,Tanzania,000_TZS,'000 TZS,5,1055,1,3234801,Meatu,,,,,6 to 20,,herd_21_50,2013.0,,,0,,,N,,,Y,,,,,Y,F,Y,,couple,none,40.0,38.0,primary,1,2,2,1,1,1,1,0,,own_land,4.0,0.0,0.0,acres,Male Female,,,,,,,4.0,acres,,Household Hire_labour,flat slope,Y,no_grazing,N,,jan feb mar apr may nov dec,,,Y,cattle,1,,,,,1,sheep chicken_poultry other1,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize tomato other1,3.0,,,,,Female,3.0,,0.0,1.0,N,,,,,Bags of each 50kg,,Y,,N,,,N,Food Timber Fodder,,No_dont_grow,N,,N,,,,,,N,sep oct nov,nov,jul,,,never,monthly,never,never,never,never,never,never,,,,,,,daily,Y,,,,bought,,,,daily,Y,,,bought,bought,,daily,,never,N,,,,bought,,,,,Y,,,,bought,,,,,Y,,,,on-farm,,,,daily,Y,,,,bought,,,,,N,,,,on-farm bought,,never,,monthly,N,,,,on-farm bought,,never,,,Y,,,,,,,,daily,N,,,,,,N,N,,,,,,,,N,,,,,UnderHalf,,food possessions invest_farm invest_people,,17,3,13,6,0,15,0,4.0,4.0,12,,,-8.7,33.5,1168,4.5509996,1,medium,5,,2017-08-05T20:12:26.037+03,23:28:59,Farmers are active in vaccine!,uuid:68c21758-3f9a-4ce1-acd0-f7988a818f39,332041,8c348545-8b47-418a-a49d-c0aea1fa7b08,2017-08-20T15:05:11,383,,-1,,,20170722,Simiyu,8.0,Longido,M,Misungwi DC,,18,Y,Y,5,dairy_just-starting,31.5017624,2.8543943310000004,0.0,0.0,0.664078309,0.0,0.0,19.964585500000002,Most,dairy,0,2017,just-started,12,inactive,8
13:03:00.000+03,8/18/17,357947074449837,2017-07-03T05:18:33.190+03,14:30:25,201711221318.0,Tanzania,000_TZS,'000 TZS,1,3224,1,2058505,KAGERA,,,,,6 to 20,,herd_1_5,2016.0,,,0,,2015.0,N,,,Y,,,,,Y,F,Y,,couple,none,43.0,27.0,primary,5,2,3,0,1,0,1,0,,own_land,2.0,0.0,0.0,acres,Male,,3.0,,,,,4.0,acres,,Hire_labour,flat slope,Y,no_grazing,N,,,,,Y,cattle,3,,,,,3,goats sheep chicken_poultry,,🐕,,,,,,,,,,,,,,,N,other,,,,,,,,,,,,,,,,,,,,,,,,day,,,,,,,,,Female,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize,1.0,,,,beans,Male,2.0,0.0,,1.0,N,,,,,,,Y,,N,,,N,Food Fodder,,No_dont_grow,,,N,,,not_important,,,N,,,feb,,,never,never,never,never,,monthly,never,never,never,,,,daily,,daily,Y,,,,,,,,weekly,Y,,,,on-farm,,,daily,monthly,N,,,,on-farm bought,,,,daily,Y,,bought Free,,on-farm bought,,,,weekly,Y,,,,on-farm bought,,,daily,daily,Y,,,,,,,,monthly,N,,,,on-farm Free,,,,weekly,N,,,,on-farm bought,,monthly,,never,N,,,,bought,,,daily,daily,Y,,,,on-farm,,N,N,,,,,,,,N,,,,,,,invest_farm invest_people,,14,5,13,6,0,0,4,0.0,4.0,12,,,-3.4,32.8,1776,4.5509996,1,medium,3,,2017-07-31T20:23:48.814+03,10:10:12,,uuid:367ea98a-a27b-456e-9f37-cad742e134f8,305576,2fd491b6-8c3e-4c10-aa4c-99c4908ffa62,2017-12-04T10:51:39,144,,-1,,,20170722,Pwani,69.0,Simanjiro,M,Chato,2014.0,2,N,Y,7,"pastoralist_non-itm, active vaccinator",54.59967638,0.0,0.0,0.0,0.316227766,0.0,0.0,7.466576575,Most,dairy,0,2017,inactive,22,active,3
