start_time_user,date_user,deviceid,starttime_auto,starttime_calculated,date_time,country,local_currency,currency_label,RegionID,VaccID,priority_backup,HouseholdID,FarmerLocation,farmer_location,farmer_location_new,FarmerCat1,Categorisation,HerdSizeCat,herd_size_cat,herd_size_cat_new,ItmStartYear,itm_start_year,ItmStartYearNew,ItmLastYearNumber,itm_last_year_number,ItmLastYearNumberNew,HerdMobileYN,herd_mobile,HerdMobileYnNew,CroppingYN,cropping_yn,cropping_yn_new,NoteUpdateBackInfo,agreement,participation,respondentsex,respondent_is_head,household_position,household_type,work_away,age_malehead,age_femalehead,education_level,children_under_4,children_4to10,males11to24,females11to24,males25to50,females25to50,malesover50,femalesover50,generated_note_name_101,land_tenure,landowned_crop,landowned_grass_enclosed,landowned_grass_open,unitland_owned,land_ownership,areaunits_other_own,landrentin,unitland_rentin,landrentout,unitland_rentout,areaunits_other_rent,landcultivated,unitland,areaunits_other,Farm_labour,land_slope,homegarden,pasture_grazing,pastureland_controldry,pastureland_controlown_when,pastureland_commonland_when,pastureland_awayland_when,generated_note_name_138,livestock_owners,livestock,livestock_count,livestock_other1,livestock_other2,livestock_other3,livestock_stabled,livestock_repeat_count,livestock_notimportant,livestock_notimp_otherpoultry_name,livestock_notimp_other1_name,livestock_notimp_other2_name,livestock_notimp_other3_name,livestock_notimp_cattle,livestock_notimp_sheep,livestock_notimp_goats,livestock_notimp_pigs,livestock_notimp_chicken_poultry,livestock_notimp_rabbits,livestock_notimp_donkeys,livestock_notimp_fish,livestock_notimp_beehives,livestock_notimp_other1,livestock_notimp_other2,livestock_notimp_other3,dairy_products_yn,dairy_products,dairy_products_other,cheese_amount,cheese_units,cheese_time_units,cheese_amount_units_other,cheese_amount_time_units_other,cheese_use,cheese_consumed_amount,cheese_sell_amount,cheese_sold_income,cheese_sold_price_timeunits,butter_amount,butter_units,butter_time_units,butter_amount_units_other,butter_amount_time_units_other,butter_use,butter_consumed_amount,butter_sell_amount,butter_sold_income,butter_sold_price_timeunits,other_dairy_amount,other_dairy_units,other_dairy_time_units,other_dairy_amount_units_other,other_dairy_amount_time_units_other,other_dairy_use,other_dairy_consumed_amount,other_dairy_sell_amount,other_dairy_sold_income,other_dairy_sold_price_timeunits,dairy_products_who_sells,dairy_products_who_control_eating,wool_collect,wool_use,wool_consumed_amount,wool_sell_amount,wool_sold_income,livestock_wool_who_sells,skins_collect,skins_use,skins_consumed_amount,skins_sell_amount,skins_sold_income,livestock_skins_who_sells,rental_collect,rent_out_animals_which,rental_sold_income,livestock_rental_who_sells,livestock_manure,livestock_manure_soil,livestock_manure_store_pile,livestock_manure_store_enclosed,livestock_manure_biodigester,livestock_manure_fuel,livestock_manure_sell,livestock_manure_dispose,generated_note_name_636,grow_crops,generated_note_name_642,crops,crop_count,crops_other1,crops_other2,crops_other3,crops_notimportant,farm_planning_who,veg_count,fruit_count,fodder_count,crop_repeat_count,use_fertilisers,fertiliser_crops,fertiliser_amount,fertiliser_units,fertiliser_type,fertiliser_units_other,fertiliser_type_other,use_manure_compost,manure_compost_crops,land_irrigated,Irrigation_crops,Irrigation_months,manage_trees,tree_uses,tree_uses_other,use_legumes_fertility,agroforestry,generated_note_name_750,gather_wildfoods,wildfoods,wildfood_collect_when,wildfood_importance,wildfood_amount,generated_note_name_764,foodshortagetime,foodshortagetime_months_which,food_worst_month,food_best_month,generated_note_name_773,generated_note_name_774,HFIAS_9,HFIAS_8,HFIAS_7,HFIAS_6,HFIAS_5,HFIAS_4,HFIAS_3,HFIAS_2,HFIAS_1,generated_note_name_787,generated_note_name_788,Grains_roots_tubers,GrainsRootsTubers_good_season,GrainsRootsTubers_bad_season,GrainsRootsTubers_last_month,GrainsRootsTubers_ind24h,GrainsRootsTubers_source,GrainsRootsTubers_source_good,GrainsRootsTubers_source_bad,GrainsRootsTubers_source_last_month,Legumes,Legumes_good_season,Legumes_bad_season,Legumes_last_month,Legumes_ind24h,Legumes_source,Legumes_source_good,Legumes_source_bad,Legumes_source_last_month,Nuts_Seeds,Nuts_Seeds_good_season,Nuts_Seeds_bad_season,Nuts_Seeds_last_month,Nuts_Seeds_ind24h,Nuts_Seeds_source,Nuts_Seeds_source_good,Nuts_Seeds_source_bad,Nuts_Seeds_source_last_month,Veg_Leafy,Veg_Leafy_good_season,Veg_Leafy_bad_season,Veg_Leafy_last_month,Veg_Leafy_ind24h,Veg_Leafy_source,Veg_Leafy_source_good,Veg_Leafy_source_bad,Veg_Leafy_source_last_month,VitA_Veg_Fruit,VitA_Veg_Fruit_good_season,VitA_Veg_Fruit_bad_season,VitA_Veg_Fruit_last_month,VitA_Veg_Fruit_ind24h,VitA_Veg_Fruit_source,VitA_Veg_Fruit_source_good,VitA_Veg_Fruit_source_bad,VitA_Veg_Fruit_source_last_month,Vegetables,Vegetables_good_season,Vegetables_bad_season,Vegetables_last_month,Vegetables_ind24h,Vegetables_source,Vegetables_source_good,Vegetables_source_bad,Vegetables_source_last_month,Fruits,Fruits_good_season,Fruits_bad_season,Fruits_last_month,Fruits_ind24h,Fruits_source,Fruits_source_good,Fruits_source_bad,Fruits_source_last_month,Meat,Meat_good_season,Meat_bad_season,Meat_last_month,Meat_ind24h,Meat_source,Meat_source_good,Meat_source_bad,Meat_source_last_month,Eggs,Eggs_good_season,Eggs_bad_season,Eggs_last_month,Eggs_ind24h,Eggs_source,Eggs_source_good,Eggs_source_bad,Eggs_source_last_month,Milk_Dairy,Milk_Dairy_good_season,Milk_Dairy_bad_season,Milk_Dairy_last_month,Milk_Dairy_ind24h,Milk_Dairy_source,Milk_Dairy_source_good,Milk_Dairy_source_bad,Milk_Dairy_source_last_month,generated_note_name_913,aidreceived,giftsreceived,aidtypes,aid_other,aid_food_amount,gifttypes,gift_other,gift_food_amount,generated_note_name_936,offfarm_incomes_any,offfarm_incomes,offfarm_incomes_count,offfarm_incomes_other,offfarm_income_repeat_count,offfarm_income_proportion,spending_Off_farm_income,spending_On_farm_income,generated_note_name_976,PPI_1,PPI_2,PPI_3,PPI_4,PPI_5,PPI_6,PPI_7,PPI_8,PPI_9,PPI_10,generated_note_name_992,respondent_comments,GPS_latitude,GPS_longitude,_GPS_altitude,_GPS_precision,Additional_respondents,quality_rapport,quality_reliability,end_time_user,endtime_auto,endtime_calculated,notes,instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,RegionName,DistrictID,DistrictName,FarmerGender,FarmerDistrict,FarmerItmYearStart,FarmerItmNumberLastYear,FarmerHerdMobileYn,FarmerCroppingYn,FarmerCatCode,FarmerCat,cattle_tlu,goat_tlu,sheep_tlu,pig_tlu,poultry_tlu,rabbit_tlu,equine_tlu,tot_tlu,milksellshr,prodsysmlk,ItmYearFirst,ItmYearLast,FarmerItmStat,VaccFrmrItmCnt,VaccItmStat,FarmerCatComb
15:16:00.000+03,8/3/17,357947074464794,2017-08-01T18:03:40.815+03,17:09:10,201711211118.0,Tanzania,000_TZS,'000 TZS,6,3256,1,3209504,,,,,,50 plus,,,,,,1,,,Y,,,Y,,,,,Y,M,Y,,couple,none,49.0,52.0,primary,0,2,3,5,2,5,0,0,,own_land,16.0,0.0,0.0,acres,Male Female,,,,,,,0.5,acres,,Household Reciprocal,flat,Y,no_grazing,Y,jun jul aug,,,,Y,cattle chicken_poultry other1,1,,,,Y,1,sheep donkeys_horses,,,,,,58.0,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,dispose,,Most,,,,,,,N,,maize,2.0,,,,mango millet ground_nut potato,Male,2.0,3.0,0.0,1.0,N,,3500.0,,,,,Y,,,,,Y,,,No_dont_grow,,,N,,,regular,,,N,,,feb,,,daily,never,never,,never,,never,never,never,,,,daily,,daily,Y,,bought Free,,on-farm,,monthly,,weekly,N,,,,on-farm bought,,,,,N,,,bought,bought,,,weekly,daily,N,,,,bought,,never,weekly,daily,N,,,,,,weekly,daily,daily,Y,,,,,,,monthly,,Y,,,,bought,,,,,N,,on-farm,,bought,,monthly,,,N,,bought Free,,on-farm,,,,daily,Y,,,,on-farm,,N,N,,,,,,,,Y,,2.0,,1.0,Most,food possessions invest_farm invest_people,food possessions invest_farm invest_people,,2,3,13,6,9,15,4,4.0,4.0,12,,No,-5.1,31.8,1075,4.5509996,1,medium,4,14:02:00.000+03,2017-11-20T18:01:44.964+03,17:38:04,,uuid:5791dacd-6555-4256-9f16-321aa489eded,458230,ae58c163-29aa-4b01-ae56-e2aa5df69aa6,2017-11-23T05:31:08,121,,-1,,,20170722,Simiyu,25.0,Nkasi,M,Monduli,,89,N,Y,8,"pastoralist_non-itm, inactive vaccinator",20.04082265,1.0194265470000001,0.0,0.0,0.22135943600000002,0.725130095,0.0,1.713354396,None,dairy,2017,2014,inactive,4,inactive,3
10:46:00.000+03,9/4/17,357947074465031,2017-08-09T09:52:06.382+03,11:16:02,201711181052.0,Tanzania,000_TZS,'000 TZS,13,2087,1,2114402,Geita,,,,,6 to 20,,,2016.0,,,38,,,Y,,,Y,,,Vaccinator Mashanene retired,,Y,M,Y,,woman_single,none,50.0,45.0,primary,1,18,1,0,7,2,2,1,,own_land,5.5,0.0,0.0,acres,Male,,,,,,,7.0,acres,,Household,flat slope,Y,own_land others_land_close,Y,,,,,Y,cattle,3,,,,N,5,other1,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,Y,,,,soil_direct,,,,,,,,,Y,,maize,1.0,,,,,Female,2.0,4.0,2.0,3.0,Y,,,,,,,Y,maize,Y,,,Y,Food,,No_crop_only,N,,N,,,not_important,,,Y,may jun jul aug,feb,,,,never,never,never,,,monthly,never,monthly,,,,,,,daily,Y,,on-farm bought Free,bought,bought,,weekly,,weekly,Y,,,,on-farm,,,never,daily,N,,,,on-farm bought,,,,weekly,Y,,,bought,bought,,,,monthly,Y,,,,on-farm bought Free,,,,daily,,,,bought,,,daily,,daily,N,,,bought,,,daily,,daily,Y,,on-farm bought,,on-farm,,,,monthly,Y,,,bought,on-farm,,,,daily,N,,,,bought,,N,N,,,,,,,,N,ownbusiness,,,1.0,Half,,food possessions invest_farm invest_people,,0,0,6,6,9,0,4,4.0,4.0,12,,,-8.5,32.6,1349,4.5509996,1,easy,5,13:29:00.000+03,2017-08-06T23:49:37.812+03,20:33:10,,uuid:a8ddbe30-e2be-4a28-ba7f-09d6dd91ebc9,457581,0c12228c-7a3a-4139-b75d-5e2afd1503b8,2017-12-04T10:50:03,121,,-1,,,20170722,Arusha,20.0,Kahama,M,CHUNYA,2015.0,0,N,Y,5,"dairy_non-itm, inactive vaccinator",43.53030505,0.0,0.0,0.0,0.44271887200000004,0.0,0.0,24.32115215,Most,dairy,0,2017,just-started,14,inactive,2
,8/7/17,357947074449795,2017-07-27T16:13:57.142+03,11:59:30,20170907.0,Tanzania,000_TZS,'000 TZS,5,2110,1,3206213,Bagamoyo,,,,,50 plus,,,2014.0,,,1,,,Y,,,Y,,,,,Y,M,Y,,couple,none,52.0,56.0,secondary,1,0,1,2,1,1,1,0,,own_land,2.0,0.0,50.0,acres,Male Female,,,,,,,3.0,acres,,Household,flat slope,Y,own_land,N,,jan feb mar apr may jun jul aug sep oct nov dec,,,Y,cattle goats sheep,3,,,,Y,1,goats,,,Duck,,,,,,,,,,,,,,N,,,5.0,,,,,,,,,,,,,,,,,,,,,,day,,,,,,,,,Male_Youth_or_Child,,,,,,,N,,,,,,N,,,,,,,,,,,,,Y,,maize rice cassava ground_nut,2.0,,,,,Male,2.0,2.0,1.0,1.0,N,,,kg,,,,Y,,N,,,N,Fuel,Building.,No_dont_grow,N,,Y,,,,,,N,aug sep oct nov dec,,jul,,,never,never,never,never,never,never,never,never,,,,,,,daily,Y,,,,,,,daily,monthly,N,,,,bought,,,,never,N,,,,on-farm bought,,weekly,,weekly,N,,on-farm bought,,,,monthly,weekly,,N,,,,,,,daily,,Y,,,,bought,,weekly,,weekly,N,,,,,,,never,monthly,Y,,,,on-farm bought,,,,monthly,N,,on-farm,on-farm,bought,,,,daily,N,,on-farm,,on-farm,,N,N,,,,,,,,Y,,,,,,,,,28,3,0,6,0,15,4,4.0,4.0,12,,,-9.0,36.6,1819,4.5509996,1,medium,3,15:37:00.000+03,2017-08-14T19:22:46.645+03,05:21:08,The household head was away. Respondent Di not know some details on livestock,uuid:1b20526b-4afd-4381-a68e-1acdb374785d,288777,836486eb-5956-43bd-8bc4-48d76b9ff644,2017-12-07T11:14:39,983,,-1,,,20170722,Manyara,109.0,Kahama,M,Chalinze,2014.0,1,N,Y,5,"pastoralist_non-itm, inactive vaccinator",35.6605868,5.708788662999999,0.0,0.0,0.063245553,0.0,0.0,21.88512291,Half,dairy,2017,2016,inactive,7,inactive,2
11:06:00.000+03,11/23/17,357947074464364,2017-09-11T09:34:42.903+03,12:31:09,201709051001.0,Tanzania,000_TZS,'000 TZS,1,2126,1,2062508,Songea,,Iringa/ ifunda,"pastoralist_non-itm, active vaccinator",,1 to 5,,herd_1_5,2014.0,,,1,,,Y,,,Y,,,,,Y,F,Y,,couple,none,48.0,75.0,illiterate,1,1,1,0,0,2,1,0,,own_land,20.0,0.0,1.5,acres,Male,,,,,,,32.0,acres,,Household Hire_labour,slope steep_slope,Y,own_land others_land_close,,may jun jul aug sep oct nov,jul aug sep oct nov dec,,,Y,cattle,1,,,,N,3,chicken_poultry,,,,,,,,,8.0,,,,,,,,N,,,,,,,,,,,,,,,,,,use,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,All,,,Y,,maize,1.0,,,,,Male Female,0.0,2.0,0.0,2.0,Y,,,kg,,,,Y,,N,,,Only_felling,Food Fodder,,No_dont_grow,N,,N,,,,UnderHalf,,N,,,jun,,,never,never,never,,never,never,,never,,,,,,,daily,Y,,,,on-farm bought,,,,weekly,N,,,bought,bought,,never,,weekly,N,,bought,,,,,,,Y,,bought,,bought,,,never,weekly,N,,,on-farm bought Free,,,,daily,,Y,,,bought,,,monthly,,daily,Y,,on-farm,,on-farm bought,,daily,weekly,,N,,,,on-farm bought,,,,daily,N,,,on-farm,,,,,,Y,,,,on-farm,,N,N,,,,,,,,Y,,,,,All,,food possessions invest_farm invest_people,,5,3,6,6,9,0,4,4.0,4.0,5,,,-1.8,37.4,1074,4.5509996,1,medium,5,11:58:00.000+03,2017-12-03T15:55:42.807+03,11:08:59,Employee bee keeping institute,uuid:bf9a717c-3bff-4ebf-9dc3-966ddbf447ce,459889,9f666eb8-861f-4a91-9cea-8a4c2f48e240,2017-12-03T18:39:29,555,,-1,,,20170722,Mbeya,165.0,Simanjiro,F,Meatu,0.0,0,N,Y,1,DITM,1.0,45.87419461,0.0,0.0,0.44271887200000004,0.0,0.0,37.13252473,Most,dairy,2010,0,inactive,22,inactive,5
08:52:00.000+03,8/3/17,357947074464364,2017-09-05T13:14:49.935+03,12:30:02,201708281528.0,Tanzania,000_TZS,'000 TZS,13,3256,1,3220610,IKUMBI/MBEYA,,,,,50 plus,,,,,,1,,,N,,,Y,,,"Did itm to local breed,  but keeps improved from last year still waiting to vaccine this year.",,Y,M,Y,married_to,couple,none,74.0,38.0,primary,1,2,2,1,1,1,1,0,,own_land communal_land,2.0,0.0,0.0,acres,Male,,,,,,,30.0,acres,,Household Hire_labour,flat,N,no_grazing,N,,,,,Y,cattle,1,,,,Y,1,,,,,,,,,,2.0,,,,,8.0,2.0,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,Female,N,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize,1.0,,,,,Male Female,1.0,4.0,0.0,2.0,N,,,,,,,Y,,N,,,Y,Food,,No_dont_grow,Y,,Y,,,,,,N,jan,nov,aug,,,never,never,daily,never,,never,never,,,,,,daily,daily,daily,Y,,on-farm,,on-farm,,,weekly,daily,N,,,,bought,,,,,N,,,,bought,,,,daily,Y,,,on-farm bought Free,on-farm bought,,,,,N,,,,bought,,daily,,daily,Y,,,,bought,,,never,weekly,N,,,,on-farm bought,,weekly,,weekly,N,,,,bought,,weekly,,weekly,N,,,,on-farm,,,,,Y,,,,on-farm,,N,N,,,,,,,,Y,ownbusiness,,,,All,food possessions invest_farm invest_people,possessions invest_farm invest_people,,17,3,6,6,0,0,4,4.0,4.0,12,,A farmer didn't  know more about ECF  and its vaccine (ITM ).,-3.2,39.0,1552,4.5509996,2,medium,4,,2017-08-20T18:12:40.576+03,05:59:02,,uuid:b39e0766-3ba1-4cf5-b014-403a4cce0deb,461305,34823fda-282e-4f74-be2c-3dbafa47b425,2017-08-27T15:53:17,804,,-1,,,20170722,Mbeya,144.0,Bagamoyo,M,Longido,2013.0,1,Y,Y,5,dairy_long-term,237.0792463,11.82534794,0.0,0.0,0.158113883,0.0,0.0,28.49866153,Most,dairy,0,2017,inactive,6,active,3
11:23:00.000+03,8/30/17,357947074449795,2017-08-24T11:19:33.759+03,10:44:52,20171117.0,Tanzania,000_TZS,'000 TZS,20,3247,1,3207115,Ileje,,,,,1 to 5,,,2017.0,,,0,,,N,,,Y,,,,,Y,M,Y,,couple,none,52.0,48.0,primary,1,3,2,0,1,1,1,0,,own_land,5.0,0.0,0.0,acres,Male,,,,,,,33.0,acres,,Household Hire_labour,slope,Y,others_land_close,N,,,,,Y,cattle,1,,,,Y,4,chicken_poultry,,Dogs,,,,,,,19.0,,,,,,,,N,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,use,,,,,N,,,,dispose,,,,,,,,,N,,maize,1.0,,,,millet beans potato,Male Female,3.0,0.0,0.0,2.0,N,,,,,,,Y,maize,N,,,N,,,No_dont_grow,,,N,,,important_food,,,N,,,jul,,,never,never,never,never,never,never,never,monthly,,,,,daily,,daily,Y,,on-farm bought Free,,on-farm,,weekly,,daily,N,,bought,,bought,,weekly,,never,N,,,,bought,,,daily,monthly,Y,,,,on-farm bought,,monthly,,weekly,Y,,,,on-farm,,,,daily,N,,,,bought,,weekly,never,monthly,N,,,,on-farm,,,,,N,,,,on-farm bought,,,,weekly,N,,,,on-farm bought,,,,,Y,,,,on-farm,,N,N,,,,,,,,N,,,,,,,food possessions invest_people,,11,3,0,6,0,15,0,4.0,0.0,12,,,-1.7,35.3,1422,4.5509996,1,medium,4,12:10:00.000+03,2017-12-02T05:21:08.730+03,14:10:41,The itm vaccine is too expensive.,uuid:2c6348fe-5376-4bdd-926b-f052c211bd65,459908,adfbfa5e-28a3-4589-a106-78958d22f26e,2017-09-14T07:27:59,891,,-1,,,20170722,Manyara,24.0,Kiteto,M,Simanjiro,2016.0,1,N,N,5,"dairy_non-itm, inactive vaccinator",132.4087687,0.0,0.0,0.0,0.948683298,0.0,0.0,61.70365087,All,dairy,2012,2017,inactive,12,active,8
11:18:00.000+03,9/4/17,357947074449837,2017-08-31T16:27:01.399+03,08:41:16,201712021019.0,Tanzania,000_TZS,'000 TZS,11,3078,1,3199802,Magu District,,,"pastoralist_non-itm, inactive vaccinator",,50 plus,,herd_21_50,0.0,,,16,,,Y,,,Y,,,,,Y,M,Y,,couple,none,45.0,52.0,illiterate,3,0,5,0,3,1,0,0,,own_land rent_out_land,1000.0,0.0,0.0,,Male Female,,,,,,,18.0,acres,,Household Reciprocal,flat,Y,common_land_close,N,,jan,,,Y,cattle pigs chicken_poultry,3,,,,Y,2,,,,,,,18.0,,,57.0,,20.0,,,0.0,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,beans,1.0,,,,,Male Female,0.0,2.0,1.0,1.0,,,,,,,,,maize,N,,,Y,,,No_dont_grow,N,,N,,,important_food,,,N,,feb,oct,,,never,never,monthly,,never,monthly,monthly,never,,,,,,,daily,Y,,,,on-farm bought,,daily,,weekly,N,,,,bought,,never,,weekly,N,,,,bought,,daily,,daily,Y,,,,,,,monthly,daily,N,,bought Free,,bought,,daily,,daily,Y,,,,,,monthly,,monthly,N,,,,,,,,daily,Y,,,,bought,,never,,weekly,Y,,,,on-farm,,daily,,daily,N,,,,on-farm bought,,N,N,Agri_Inputs Animals,,,,,,,N,gov_institution,,,1.0,,,food possessions invest_farm invest_people,,0,3,6,6,0,15,4,4.0,4.0,12,,,-9.0,33.6,1162,4.5509996,1,medium,4,09:39:00.000+03,2017-08-06T23:51:00.518+03,06:33:28,"Lecturer. Benefits of ITM, cattle do not fall sick. Does not practice tick control because his cows get no ticks under 0  grazing",uuid:84ff0781-4fc1-4e05-8674-8ab580194bd7,446158,f08f9052-2f9c-486a-a24a-84dc134030f0,2017-08-27T15:56:40,545,,-1,,,20170722,Mbeya,82.0,Njombe Urban,M,Kiteto,,80,N,N,8,pastoralist_long-term,7.092723818,55.04903353,1.427197166,0.0,18.97366596,0.108769514,0.0,1.713354396,All,dairy,0,2017,inactive,7,inactive,4
10:03:00.000+03,11/25/17,357947074449795,2017-11-24T11:03:23.697+03,13:10:31,201709011353.0,Tanzania,000_TZS,'000 TZS,24,3135,1,3157323,Tabora Urban,,,"pastoralist_non-itm, inactive vaccinator",,1 to 5,,,0.0,,,0,,,Y,,,Y,,,,,Y,M,N,,couple,none,44.0,21.0,secondary,1,11,2,2,0,1,1,0,,own_land,3.0,0.0,0.0,acres,Male Female,,,,5.0,,,0.0,acres,,Hire_labour,flat slope,Y,no_grazing,N,,jan feb mar apr may,,,Y,cattle,3,,,,Y,1,goats sheep chicken_poultry donkeys_horses,,,,,,,,,,,,,,,5.0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,Y,,maize beans,1.0,,,,onion tomato,Male Female,,1.0,0.0,1.0,N,maize,,,,,,Y,maize millet beans cassava potato,N,,,N,Food Fuel Timber Land_benefits,,No_dont_grow,N,,N,,,,,,N,,,jul,,,never,monthly,never,monthly,never,,never,never,never,,,,,,daily,Y,,,on-farm bought,on-farm,,daily,,daily,N,,,on-farm bought,bought,,,,monthly,N,,,,on-farm,,,,monthly,Y,,,,bought,,,,never,N,,,,on-farm bought,,,weekly,daily,Y,,on-farm bought,,bought,,,,monthly,N,,,,,,,monthly,weekly,N,,,,,,monthly,,monthly,N,,,,bought,,daily,weekly,weekly,Y,,,Free,,,N,N,Animals,,,,,,,N,gov_institution,,,,,food possessions invest_farm invest_people,food possessions invest_farm invest_people,,14,0,6,6,0,0,4,4.0,4.0,12,,,-2.5,36.6,1540,4.5509996,1,easy,4,10:59:00.000+03,2017-09-13T11:59:32.582+03,20:28:15,"Farmer is very understanding in ECF, being doing it for long time and having positive impact to his catlle",uuid:43e4406f-1459-4ae4-a0aa-fd8e46bb2621,328956,e5c70fd4-16cc-4c5b-bc49-71c241439e85,2017-12-07T11:14:42,128,,-1,,,20170722,Iringa,25.0,Iringa Urban,M,Ngorongoro,0.0,0,N,Y,5,dairy_long-term,1.252982213,0.0,0.0,6.280464881,0.758946638,0.0,0.0,297.85972830000003,All,dairy,0,2017,just-started,8,active,4
08:36:00.000+03,8/18/17,357947074465049,2017-07-25T14:24:38.394+03,10:27:53,201711211141.0,Tanzania,000_TZS,'000 TZS,5,3146,1,3243708,Njombe,,,dairy_just-starting,,1 to 5,,herd_1_5,2012.0,,,56,,,Y,,,Y,,,,,Y,M,Y,parent,couple,man_works_away,57.0,35.0,literate,0,5,9,3,1,2,0,0,,own_land communal_land,2.0,0.0,0.0,acres,Male,,,,,,,6.0,acres,,Household Reciprocal,slope,Y,no_grazing,N,,jan feb mar apr may jun jul aug sep oct nov dec,,,Y,cattle,4,,,,Y,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,N,,,,,,N,,,,,,N,,,,,,,,,,,,,Y,,maize,1.0,,,,beans cassava banana potato,Male,2.0,0.0,0.0,1.0,,,,,,,,Y,maize tomato other1,N,maize beans rice banana tomato,,N,,Building.,No_dont_grow,N,,N,,,,,,N,,oct,dec,,,weekly,,never,,never,never,,never,never,,,,,weekly,daily,Y,,on-farm,,on-farm bought,,,,daily,N,,,on-farm bought,bought,,,never,never,N,,,,bought,,,monthly,daily,Y,,,,on-farm,,,,never,N,,,,bought,,,weekly,daily,Y,,,,on-farm,,monthly,,daily,N,,,,,,daily,monthly,weekly,Y,,,on-farm bought Free,,,,,weekly,,,,,,,,weekly,daily,Y,,,,bought,,N,N,,,,,,,,N,,,,,,,food possessions invest_farm invest_people,,11,3,6,6,9,0,4,4.0,4.0,a0,,More animal medicines and treatments needed,-3.9,31.6,1827,4.5509996,2,medium,5,10:23:00.000+03,2017-08-27T19:30:58.586+03,13:43:59,,uuid:1453b213-d8fa-43cb-97f5-0f521af647cf,288823,b4706dd6-fa5d-472a-8679-becb2472a339,2017-08-14T17:32:51,385,,-1,,,20170722,Arusha,1.0,Sumbawanga Rural,M,Kalambo,2017.0,1,Y,Y,8,pastoralist_long-term,35.95039817,41.59260311,0.0,0.0,0.0,0.0,0.0,1.790569415,All,dairy,2015,2017,inactive,8,active,3
13:53:00.000+03,12/2/17,357947074449894,2017-08-31T09:05:51.614+03,14:13:51,201708281427.0,Tanzania,000_TZS,'000 TZS,13,1061,1,3224207,Mufindi,,,"dairy_non-itm, inactive vaccinator",,50 plus,,,2017.0,,,0,,,Y,,,Y,,,,,Y,M,Y,,couple,none,45.0,36.0,secondary,1,3,1,0,0,1,1,0,,own_land,14.0,0.0,0.0,acres,Male Female,,,acres,,,,2.0,acres,,Household Hire_labour,flat,Y,own_land others_land_close,N,,jan feb mar apr may jun jul aug sep oct nov dec,,,Y,cattle goats sheep fish,1,,,,Y,4,rabbits,,Dogs,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,soil_direct,,,,,,,,,N,,maize,2.0,,,,,Male,4.0,1.0,0.0,2.0,N,,,kg,,,,Y,,N,,,Y,,,No_crop_only,N,,N,,,,,,N,,,jun,,,never,never,never,never,never,,never,never,,,,,,,daily,Y,,,,bought,,,,,N,,,,bought,,,,monthly,N,,,,bought,,,,monthly,Y,,,,bought,,,monthly,weekly,,,,,,,,daily,daily,Y,,,,,,,,never,N,,,,,,,,daily,Y,,bought,,on-farm bought,,,,,N,,on-farm Free,,on-farm,,,,daily,Y,,,,on-farm,,N,N,,,,,,,,N,ownbusiness,,,,Half,food possessions invest_farm invest_people,food possessions invest_farm invest_people,,5,3,0,6,9,0,4,0.0,4.0,12,,Need high quality breed.,-9.3,36.3,1424,4.5509996,1,easy,3,14:39:00.000+03,2017-09-13T13:43:46.065+03,05:59:02,,uuid:a965b763-00f8-46ff-b51b-68faa26019fe,305566,e657158c-4c3e-44ee-8875-656185dbf7c3,2017-08-07T16:18:46,761,,-1,,,20170722,Manyara,135.0,Magu,M,Mbogwe,,0,N,Y,1,"dairy_non-itm, inactive vaccinator",10.78836241,0.0,0.0,0.0,1.4230249469999998,0.0,0.0,455.32812199999995,Most,dairy,0,2017,inactive,9,active,1
